ID,phylum,class,order,family,genus,species,Berry_16S,MiFish_E,MiFish_U,Riaz_12S
Zotu9,Chordata,Perciformes,Perciformes,Pomacentridae,Abudefduf,Abudefduf abdominalis,1,0,0,1
Zotu95,Chordata,Centrarchiformes,Centrarchiformes,Kuhliidae,Kuhlia,Kuhlia xenura,1,1,1,1
Zotu101,Chordata,Chaetodontiformes,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon lineolatus,0,1,0,0
Zotu125,Chordata,Cyprinodontiformes,Cyprinodontiformes,Poeciliidae,Poecilia,,0,1,1,1
Zotu142,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Mugilogobius,Mugilogobius cavifrons,0,1,1,0
Zotu168,Chordata,Labriformes,Labriformes,Labridae,Thalassoma,,0,1,0,1
Zotu181,Chordata,Perciformes,Perciformes,Scorpaenidae,Scorpaenodes,Scorpaenodes quadrispinosus,0,1,0,0
Zotu19,Chordata,Perciformes,Perciformes,Sphyraenidae,Sphyraena,,0,1,1,1
Zotu22,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus blochii,0,1,1,0
Zotu221,Chordata,Scombriformes,Scombriformes,Scombridae,Thunnus,,0,1,1,1
Zotu240,Chordata,Tetraodontiformes,Tetraodontiformes,,,,0,1,0,0
Zotu261,Chordata,Tetraodontiformes,Tetraodontiformes,Tetraodontidae,Arothron,Arothron hispidus,0,1,1,1
Zotu53,Chordata,Beloniformes,Beloniformes,Belonidae,Tylosurus,,0,1,1,1
Zotu64,Chordata,Blenniiformes,Blenniiformes,Blenniidae,Parablennius,Parablennius thysanius,0,1,1,0
Zotu8,Chordata,Perciformes,Perciformes,Pomacentridae,Abudefduf,,0,1,1,0
Zotu160,Chordata,Kurtiformes,Kurtiformes,Apogonidae,Foa,Foa brachygramma,0,0,1,1
Zotu23,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus dussumieri,0,0,1,0
Zotu45,Chordata,Anguilliformes,Anguilliformes,Muraenidae,,,0,0,1,0
Zotu46,Chordata,Anguilliformes,Anguilliformes,Muraenidae,Gymnothorax,,0,0,1,0
Zotu99,Chordata,Chaetodontiformes,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon auriga,0,0,1,0
Zotu107,Chordata,Cichliformes,Cichliformes,Cichlidae,,,0,0,0,1
Zotu120,Chordata,Clupeiformes,Clupeiformes,Engraulidae,Encrasicholina,Encrasicholina punctifer,0,0,0,1
Zotu123,Chordata,Cyprinodontiformes,Cyprinodontiformes,Poeciliidae,Gambusia,,0,0,0,1
Zotu143,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Mugilogobius,Mugilogobius parvus,0,0,0,1
Zotu144,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Oxyurichthys,Oxyurichthys saru,0,0,0,1
Zotu159,Chordata,Istiophoriformes,Istiophoriformes,Xiphiidae,Xiphias,Xiphias gladius,0,0,0,1
Zotu165,Chordata,Labriformes,Labriformes,Labridae,Gomphosus,Gomphosus varius,0,0,0,1
Zotu167,Chordata,Labriformes,Labriformes,Labridae,Scarus,Scarus psittacus,0,0,0,1
Zotu205,Chordata,Salmoniformes,Salmoniformes,Salmonidae,Salmo,Salmo salar,0,0,0,1
Zotu21,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,,0,0,0,1
Zotu233,Chordata,Syngnathiformes,Syngnathiformes,Mullidae,Mulloidichthys,,0,0,0,1
Zotu48,Chordata,Anguilliformes,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax undulatus,0,0,0,1
Zotu62,Chordata,Blenniiformes,Blenniiformes,Blenniidae,,,0,0,0,1
Zotu98,Chordata,Chaetodontiformes,Chaetodontiformes,Chaetodontidae,Chaetodon,,0,0,0,1
