ID,phylum,class,order,family,genus,species,28S,Berry_16S,CO1,MiFish_E,MiFish_U,Riaz_12S
Zotu67,Chordata,Carangiformes,Carangiformes,Carangidae,Caranx,,0,1,0,1,1,1
Zotu69,Chordata,Carangiformes,Carangiformes,Carangidae,Decapterus,Decapterus macarellus,0,1,0,1,1,0
Zotu72,Chordata,Carangiformes,Carangiformes,Carangidae,Decapterus,Decapterus muroadsi,0,1,0,0,0,0
Zotu75,Chordata,Carangiformes,Carangiformes,Carangidae,Selar,Selar crumenophthalmus,0,1,0,1,1,1
Zotu76,Chordata,Carangiformes,Carangiformes,Carangidae,Seriola,Seriola rivoliana,0,1,1,1,0,0
Zotu77,Chordata,Carangiformes,Carangiformes,Coryphaenidae,Coryphaena,Coryphaena equiselis,1,1,0,1,1,1
Zotu78,Chordata,Carangiformes,Carangiformes,Coryphaenidae,Coryphaena,Coryphaena hippurus,0,1,0,1,0,1
Zotu80,Chordata,Carcharhiniformes,Carcharhiniformes,Carcharhinidae,Carcharhinus,,0,1,0,1,0,1
Zotu81,Chordata,Carcharhiniformes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus melanopterus,0,1,1,1,0,0
Zotu83,Chordata,Carcharhiniformes,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo cuvier,0,1,0,1,0,1
Zotu84,Chordata,Carcharhiniformes,Carcharhiniformes,Carcharhinidae,Sphyrna,Sphyrna lewini,0,1,1,1,1,1
Zotu86,Chordata,Carcharhiniformes,Carcharhiniformes,Pseudotriakidae,Pseudotriakis,Pseudotriakis microdon,0,1,1,1,1,1
Zotu93,Chordata,Centrarchiformes,Centrarchiformes,Cirrhitidae,Paracirrhites,Paracirrhites arcatus,0,1,1,1,1,1
Zotu94,Chordata,Centrarchiformes,Centrarchiformes,Cirrhitidae,Paracirrhites,Paracirrhites forsteri,0,1,0,1,1,1
Zotu96,Chordata,Centrarchiformes,Centrarchiformes,Kyphosidae,Kyphosus,,0,1,0,1,1,1
Zotu15,Chordata,Perciformes,Perciformes,Pomacentridae,Dascyllus,Dascyllus albisella,1,0,1,0,0,0
Zotu163,Chordata,Labriformes,Labriformes,Labridae,Chlorurus,Chlorurus microrhinos,0,0,1,0,0,0
Zotu177,Chordata,Myliobatiformes,Myliobatiformes,Myliobatidae,Mobula,Mobula alfredi,0,0,1,0,0,0
Zotu21,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,,0,0,1,1,1,1
Zotu82,Chordata,Carcharhiniformes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus plumbeus,0,0,1,0,0,0
Zotu97,Chordata,Centrarchiformes,Centrarchiformes,Kyphosidae,Kyphosus,Kyphosus cinerascens,0,0,1,0,0,0
Zotu150,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Myripristis,Myripristis chryseres,0,0,0,1,1,0
Zotu156,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Sargocentron,Sargocentron ittodai,0,0,0,1,1,0
Zotu157,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Sargocentron,Sargocentron punctatissimum,1,0,0,1,0,1
Zotu173,Chordata,Lutjaniformes,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus kasmira,0,0,0,1,1,0
Zotu184,Chordata,Perciformes,Perciformes,Serranidae,Epinephelus,,0,0,0,1,1,1
Zotu209,Chordata,Scombriformes,Scombriformes,Gempylidae,Gempylus,Gempylus serpens,0,0,0,1,0,0
Zotu230,Chordata,Syngnathiformes,Syngnathiformes,Dactylopteridae,Dactyloptena,,0,0,0,1,1,0
Zotu24,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus lineatus,0,0,0,1,1,1
Zotu240,Chordata,Tetraodontiformes,Tetraodontiformes,,,,0,0,0,1,1,0
Zotu243,Chordata,Tetraodontiformes,Tetraodontiformes,Balistidae,Sufflamen,Sufflamen bursa,0,0,0,1,0,0
